# model,mass_GeV,coupling,cross_section_pb,uncertainty_pb
CstarToGJ,1000,f1p0,1.272e+00,2.730e-02
CstarToGJ,1200,f1p0,4.834e-01,3.342e-02
CstarToGJ,1400,f1p0,2.029e-01,1.392e-02
CstarToGJ,1500,f1p0,1.368e-01,2.883e-03
CstarToGJ,1600,f1p0,9.707e-02,6.392e-03
CstarToGJ,1800,f1p0,4.070e-02,2.916e-03
CstarToGJ,2000,f1p0,2.596e-02,1.686e-03
CstarToGJ,2200,f1p0,1.348e-02,9.329e-04
CstarToGJ,2400,f1p0,7.146e-03,4.682e-04
CstarToGJ,2500,f1p0,5.793e-03,3.898e-04
CstarToGJ,2600,f1p0,4.127e-03,2.778e-04
CstarToGJ,2800,f1p0,2.180e-03,1.395e-04
CstarToGJ,3000,f1p0,1.177e-03,8.086e-05
CstarToGJ,1000,f0p5,2.771e-01,5.801e-02
CstarToGJ,1200,f0p5,1.249e-01,8.045e-03
CstarToGJ,1400,f0p5,5.253e-02,3.367e-03
CstarToGJ,1500,f0p5,3.256e-02,2.276e-03
CstarToGJ,1600,f0p5,2.200e-02,1.441e-03
CstarToGJ,1800,f0p5,1.257e-02,8.237e-04
CstarToGJ,2000,f0p5,5.312e-03,3.589e-04
CstarToGJ,2200,f0p5,3.435e-03,2.371e-04
CstarToGJ,2400,f0p5,1.741e-03,1.204e-04
CstarToGJ,2500,f0p5,1.146e-03,7.576e-05
CstarToGJ,2600,f0p5,9.190e-04,6.461e-05
CstarToGJ,2800,f0p5,5.792e-04,3.823e-05
CstarToGJ,3000,f0p5,3.440e-04,2.318e-05
CstarToGJ,1000,f0p1,1.291e-02,2.863e-04
CstarToGJ,1200,f0p1,4.822e-03,1.063e-04
CstarToGJ,1400,f0p1,2.075e-03,4.507e-05
CstarToGJ,1500,f0p1,1.479e-03,3.216e-05
CstarToGJ,1600,f0p1,9.501e-04,2.091e-05
CstarToGJ,1800,f0p1,5.415e-04,3.615e-05
CstarToGJ,2000,f0p1,2.360e-04,5.162e-06
CstarToGJ,2200,f0p1,1.459e-04,9.606e-06
CstarToGJ,2400,f0p1,7.103e-05,5.068e-06
CstarToGJ,2500,f0p1,5.052e-05,1.083e-06
CstarToGJ,2600,f0p1,4.109e-05,2.899e-06
CstarToGJ,2800,f0p1,2.135e-05,1.485e-06
CstarToGJ,3000,f0p1,1.255e-05,2.787e-07
